Incident Type,Department,SOP Steps
Building Fire,Bangalore Fire and Emergency Services (BFES),"1. Receive alert via 101 or Integrated Command and Control Centre (ICCC). 2. Dispatch nearest fire tender and quick response vehicle within 3 minutes. 3. En route, coordinate with traffic police for signal override on key corridors (MG Road, Outer Ring Road). 4. On arrival, assess fire floor, wind direction, and occupancy using building layout database. 5. Establish incident command post 50m from structure. 6. Initiate evacuation via public address system. 7. Deploy hose lines; establish water supply from nearest BWSSB hydrant. 8. Search and rescue operations floor by floor. 9. Coordinate with BBMP for road closure and crowd management. 10. Hand over site to forensic team post-fire knockdown. 11. File incident report within 6 hours to BFES HQ, Indiranagar."
Building Fire,Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Receive incident notification from ICCC or BFES on-site commander. 2. Deploy traffic marshals to divert vehicles on surrounding roads. 3. Arrange temporary shelter at nearest BBMP community hall for displaced residents. 4. Ensure debris clearance post-incident using BBMP machinery. 5. Conduct structural safety audit within 24 hours via BBMP Engineering wing. 6. Issue demolition or repair order as per structural assessment. 7. Document affected households and forward list to BBMP Welfare wing for compensation processing."
Building Fire,Bangalore Police (Bengaluru City Police),"1. Receive alert from PCR (100) or ICCC. 2. Dispatch nearest patrol vehicle for perimeter control. 3. Establish a 100m no-entry zone around the incident site. 4. Coordinate with Sub-Divisional Magistrate (SDM) for Section 144 if crowd is unmanageable. 5. Facilitate smooth movement of fire tenders through traffic. 6. Register FIR if arson suspected; preserve evidence. 7. Coordinate witness statements and hand over investigation file to Crime Branch if required."
Building Fire,Karnataka State Disaster Management Authority (KSDMA),"1. Activate State Emergency Operations Centre (SEOC) if fire is Category B or above (multi-story or industrial). 2. Deploy State Disaster Response Force (SDRF) team for rescue if BFES capacity is exceeded. 3. Coordinate inter-agency resource sharing (ambulances, cranes, generators). 4. Issue public advisory via Sakala portal and social media. 5. Prepare situation report every 2 hours for Chief Minister's Office (CMO). 6. Coordinate relief and rehabilitation with BBMP and Revenue Department."
Road Traffic Accident,Bangalore Traffic Police,"1. Receive PCR call (103) or ICCC alert. 2. Dispatch nearest Traffic Police Assistance Van (TPAV) within 5 minutes. 3. Secure accident site; deploy cones and reflective barriers. 4. Coordinate with BBMP for tow truck if vehicles are blocking lanes. 5. Collect FIR details and accident sketch. 6. Coordinate with Bengaluru One mobile app team for real-time diversion updates. 7. Document witness accounts. 8. Initiate motor accident report under MV Act, 1988."
Road Traffic Accident,Karnataka 108 Ambulance Service (GVK EMRI),"1. Receive GPS-tagged alert via 108 dispatch centre. 2. Dispatch nearest ambulance with ALS or BLS kit based on severity code. 3. On arrival, perform primary triage; classify casualties as Red, Yellow, Green. 4. Provide on-site first aid and immobilize spine injuries. 5. Transport critical patients to nearest trauma centre (St. John's, Victoria, or NIMHANS for neuro). 6. Relay patient condition to receiving hospital 10 minutes prior to arrival. 7. Complete ePCR (Electronic Patient Care Record) on Jeevan dispatch system."
Road Traffic Accident,Bangalore Police (Bengaluru City Police),"1. Register PCR call under zero FIR provision if accident falls outside jurisdiction. 2. Ascertain fault using CCTV footage from BWSSB/BBMP cameras and Namma CCTV network. 3. Conduct breath analyser test on drivers. 4. Prepare panchanama and detailed accident report. 5. Arrange medico-legal formalities if fatality is involved. 6. Coordinate with Government Railway Police (GRP) if accident is on railway crossing. 7. Forward report to Motor Accident Claims Tribunal (MACT) within 30 days."
Road Traffic Accident,Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Deploy rapid response team to repair road defects that may have caused the accident. 2. Arrange towing of damaged vehicles within 2 hours. 3. Clear debris and restore road surface. 4. Flag location for road safety audit to BBMP Road Infrastructure wing. 5. Ensure pothole filling or barrier repair within 48 hours post-incident."
Flood / Urban Waterlogging,Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Activate BBMP Stormwater Drain (SWD) Control Room (Hebbal). 2. Deploy de-watering pumps to flooded underpasses (Ejipura, Silk Board, KR Puram). 3. Coordinate with traffic police for closure of flooded stretches. 4. Dispatch BBMP emergency teams to clear storm drain blockages. 5. Arrange temporary shelters in BBMP schools/community halls for displaced families. 6. Activate helpline 1533 for flood complaints. 7. Coordinate with BWSSB to prevent sewage backflow into residential areas. 8. Document flood extent and submit report to KSDMA and revenue department."
Flood / Urban Waterlogging,Karnataka State Natural Disaster Monitoring Centre (KSNDMC),"1. Issue flood alert based on IMD rainfall data and Cauvery/Arkavathi river gauge levels. 2. Disseminate alerts via Integrated Warning Dissemination System (IWDS) to district administration. 3. Activate community warning systems in Ramnagara and Ramanagara districts affecting Bangalore inflow. 4. Update Varuna Mitra app with real-time rainfall data. 5. Prepare hourly situation reports for KSDMA SEOC. 6. Coordinate with HAL Meteorological Centre for micro-weather forecasting over Bangalore urban area."
Flood / Urban Waterlogging,Karnataka State Disaster Management Authority (KSDMA),"1. Convene emergency meeting of district collectors of Bengaluru Urban and Rural districts. 2. Pre-position SDRF boats and life jackets at Koramangala SWD office and BBMP depot. 3. Coordinate with Indian Army (Bangalore Military Station, Agram) for large-scale rescue if needed. 4. Open State Relief Camps; coordinate food supply with Food Corporation of India. 5. Issue compensation orders under SDRF norms. 6. Prepare damage assessment report within 72 hours. 7. Monitor rajakaluve (lake drainage channels) encroachments for post-event action."
Flood / Urban Waterlogging,Bangalore Electricity Supply Company (BESCOM),"1. Monitor real-time fault data on BESCOM SCADA system. 2. Isolate power supply to flood-affected feeders immediately to prevent electrocution. 3. Deploy Trouble Shooting Teams (TST) to de-energise submerged transformers. 4. Coordinate with BBMP on priority restoration of pumping stations and hospitals. 5. Restore power to critical infrastructure (hospitals, water treatment plants) first. 6. Issue public advisory via BESCOM helpline 1912 on safety during outage."
Earthquake,Karnataka State Disaster Management Authority (KSDMA),"1. Receive seismic data from National Centre for Seismology (NCS); activate SEOC within 15 minutes. 2. Initiate Rapid Damage Assessment using KSDMA GIS dashboard. 3. Deploy SDRF Urban Search and Rescue (USAR) teams with sniffer dogs to Bangalore. 4. Request NDRF 9th Battalion (Bengaluru) activation via NDMA if quake is above 5.5 Mw. 5. Coordinate helicopter reconnaissance over worst-affected wards with HAL ATC. 6. Establish 24-hour helpline 1070 and Whatsapp-based reporting. 7. Coordinate structural engineering teams from Visvesvaraya Technological University for safety audits. 8. Prepare and submit PDNA (Post-Disaster Needs Assessment) within 72 hours."
Earthquake,Bangalore Fire and Emergency Services (BFES),"1. Activate all BFES Urban Search and Rescue (USAR) units. 2. Deploy hydraulic rescue tools (Jaws of Life), thermal cameras, and acoustic sensors to collapsed structures. 3. Prioritise hospitals, schools, and high-rise residential buildings (Whitefield, Electronic City corridors). 4. Coordinate with BBMP for debris removal machinery. 5. Establish forward medical posts in coordination with 108 service. 6. Document GPS coordinates of all rescue operations for KSDMA logs. 7. Continue operations in 12-hour shifts until all survivors are retrieved."
Earthquake,Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Conduct rapid visual survey of BBMP-maintained bridges (Cauvery, Vrishabhavathi corridors). 2. Close structurally compromised buildings under Section 321 of Karnataka Municipal Corporations Act. 3. Arrange mass shelter at Kanteerava Stadium and Palace Grounds if large-scale displacement occurs. 4. Coordinate mass feeding through BBMP-empanelled NGOs (Akshaya Patra, Iskcon Food Relief). 5. Initiate debris clearance in coordination with SDRF and BFES. 6. Mark unsafe buildings with red tags; restrict re-entry."
Earthquake,Karnataka Health Department / BBMP Health Wing,"1. Activate Emergency Health Operations Centre at KC General Hospital. 2. Initiate mass casualty management protocol; activate blood bank networks. 3. Deploy BBMP mobile medical units to affected wards. 4. Set up field hospitals near major incident sites. 5. Coordinate with private hospitals under KSDMA MOU for additional capacity. 6. Ensure psychosocial support teams are deployed within 48 hours. 7. Monitor water safety post-earthquake to prevent disease outbreaks."
Industrial Chemical Spill,Bangalore Fire and Emergency Services (BFES),"1. Receive HAZMAT alert via 101 or Bangalore Industrial Area Development Board (BIADB) hotline. 2. Dispatch HAZMAT response unit from Peenya Fire Station (closest to industrial zone). 3. On arrival, identify chemical using MSDS database or UN number on tanker/container. 4. Establish hot zone (0-100m), warm zone (100-300m), cold zone (300-500m) perimeters. 5. Don appropriate PPE (Level A or B suits) before entry. 6. Deploy foam, dry powder, or neutralising agents as per chemical type. 7. Coordinate with KSPCB for air quality monitoring. 8. Conduct decontamination of all personnel exiting hot zone. 9. Notify Karnataka Factories and Boilers Department for regulatory follow-up."
Industrial Chemical Spill,Karnataka State Pollution Control Board (KSPCB),"1. Deploy emergency response team to incident site with portable air quality analysers. 2. Collect soil, water, and air samples. 3. Identify source company and serve show-cause notice. 4. Coordinate with BWSSB to check for contamination of nearby water bodies (Hebbal Lake, Varthur Lake). 5. Issue advisory to residents within 1 km radius. 6. Initiate closure proceedings against defaulting unit if breach of Environment Protection Act, 1986. 7. Submit incident report to Central Pollution Control Board (CPCB) within 24 hours."
Industrial Chemical Spill,Bangalore Police (Bengaluru City Police),"1. Establish evacuation perimeter and assist BFES in crowd control. 2. Coordinate with transport police for road closures around Peenya or Bommasandra industrial areas. 3. Identify and detain responsible company officials for inquiry under Section 304A IPC. 4. Coordinate CCTV footage retrieval from industrial corridor cameras. 5. Lodge FIR under relevant sections (IPC + Environment Protection Act). 6. Coordinate with cyber cell if industrial sabotage is suspected."
Industrial Chemical Spill,Karnataka 108 Ambulance Service (GVK EMRI),"1. Receive HAZMAT alert; dispatch dedicated HAZMAT ambulance with antidote kit. 2. Triage exposed victims; prioritise inhalation injury and chemical burns. 3. Decontaminate patients outside ambulance before loading. 4. Transport to designated HAZMAT-receiving hospital (KIMS or St. Martha's). 5. Communicate chemical name to receiving hospital for antidote preparation. 6. Report patient count and conditions to Emergency Health Operations Centre."
Mass Casualty Incident (Stampede / Crowd Crush),Bangalore Police (Bengaluru City Police),"1. Receive PCR alert (100); activate Mass Casualty Incident (MCI) protocol. 2. Dispatch Commissioner's reserve force and nearest police stations for crowd control. 3. Establish ICP (Incident Command Post) at venue perimeter. 4. Identify and secure entry/exit points; create clear evacuation corridors. 5. Coordinate with event management company / venue authority to stop music/announcements and direct crowd. 6. Deploy body cameras for evidence collection. 7. Register FIR against event organisers if safety norms were violated under Karnataka Police Act. 8. Coordinate with Coroner for PME in case of fatalities."
Mass Casualty Incident (Stampede / Crowd Crush),Karnataka 108 Ambulance Service (GVK EMRI),"1. Activate MCI plan; dispatch multiple ambulances and a Mobile Intensive Care Unit (MICU). 2. Set up on-site triage area 200m from crowd using START triage system. 3. Assign colour-coded tags: Red (immediate), Yellow (delayed), Green (minor), Black (deceased). 4. Coordinate hospital pre-alerts to Victoria, Bowring, and NIMHANS emergency departments. 5. Establish patient tracking system to prevent duplication of care. 6. Coordinate with police for ambulance access corridor. 7. Document all patient handovers with ePCR."
Mass Casualty Incident (Stampede / Crowd Crush),Karnataka Health Department / BBMP Health Wing,"1. Activate Emergency Health Operations Centre; alert all government hospitals for surge capacity. 2. Open additional emergency beds and activate disaster OT protocols. 3. Coordinate blood bank mobilisation across Bangalore blood banks. 4. Deploy rapid response medical teams to scene. 5. Arrange psychosocial support for affected individuals. 6. Issue media advisory on hospital distribution to avoid overloading single facility. 7. Coordinate with private hospitals under Karnataka Clinical Establishments Act for MCI support."
Mass Casualty Incident (Stampede / Crowd Crush),Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Coordinate with traffic police for ambulance corridors on connecting roads. 2. Open nearest BBMP hall as temporary rest and family reunification centre. 3. Ensure CCTV footage from BBMP-operated cameras is secured. 4. Initiate post-incident safety audit of the venue for future events. 5. Coordinate with Revenue Department for victim compensation claims."
Power Grid Failure / Major Blackout,Bangalore Electricity Supply Company (BESCOM),"1. Identify fault type via SCADA (substation trip, transmission line fault, equipment failure). 2. Isolate affected feeder and assess impact zone on BESCOM GIS mapping tool. 3. Dispatch line crew for field inspection of affected 11 KV/33 KV infrastructure. 4. Coordinate with KPTCL (Karnataka Power Transmission Corporation Limited) for 220 KV/400 KV level faults. 5. Restore power to critical infrastructure (hospitals, water plants, airport) on priority via alternate feeders. 6. Activate BESCOM helpline 1912; update Bangalore One app with outage status. 7. Deploy DG sets to hospitals and emergency services via empanelled vendors. 8. Estimate restoration timeline and communicate to BBMP and KSDMA every 30 minutes. 9. File incident report with Karnataka Electricity Regulatory Commission (KERC) within 48 hours."
Power Grid Failure / Major Blackout,Bangalore Police (Bengaluru City Police),"1. Activate contingency protocol for traffic signal failures; deploy traffic wardens at key intersections (Silk Board, Hebbal, KR Circle). 2. Increase patrol in commercial and residential areas to prevent crime during blackout. 3. Coordinate with BESCOM for ETA of restoration to manage public anxiety. 4. Assist in evacuation of elevators if people are trapped. 5. Coordinate security at fuel stations to prevent panic buying. 6. Alert anti-social activities monitoring team during extended outage."
Power Grid Failure / Major Blackout,BBMP and Bangalore International Airport Limited (BIAL),"1. BBMP: Activate emergency street lighting via generator-backed critical circuits. 2. BBMP: Coordinate with BESCOM for restoration priority in densely populated areas. 3. BIAL (Kempegowda International Airport): Activate Airport Emergency Plan; switch to APU and ground power. 4. BIAL: Coordinate with AAI ATC for runway lighting continuity. 5. BIAL: Notify airlines for flight management during outage. 6. BIAL: Activate passenger communication systems for updates."
Cyber Attack on City Infrastructure,Bengaluru Cyber Crime Police (CEN Police),"1. Receive complaint/alert via cybercrime.gov.in or 1930 helpline. 2. Activate Cyber Crime Emergency Response Team (CERT-K) in coordination with CERT-IN. 3. Isolate affected government systems (BBMP, BESCOM, BWSSB servers). 4. Preserve forensic evidence: system logs, IP traces, network captures. 5. Coordinate with National Cyber Coordination Centre (NCCC) and NIC for containment. 6. Issue advisory to all Bangalore city departments to patch vulnerabilities. 7. Engage Infosys, Wipro, or ISRO ISTRAC cybersecurity teams under government empanelment. 8. File case under IT Act 2000 Section 66, 66C, 66F (cyber terrorism if applicable). 9. Prepare and submit incident report to MHA I4C within 6 hours of detection."
Cyber Attack on City Infrastructure,Karnataka State Disaster Management Authority (KSDMA),"1. Assess downstream impact on physical infrastructure (traffic signals, water pumps, 108 dispatch). 2. Activate manual fallback protocols for ICCC-dependent systems. 3. Coordinate with BESCOM and BWSSB for manual operations mode. 4. Communicate with CMO and principal secretary for situation updates. 5. Coordinate with NASSCOM and Software Technology Parks of India (STPI) to identify sector-wide threat scope. 6. Issue public advisory on phishing/misinformation circulating during incident."
Epidemic / Disease Outbreak,BBMP Health Wing,"1. Receive outbreak report from Primary Health Centre (PHC) or private hospital; verify cluster definition (3+ cases). 2. Activate BBMP Epidemic Task Force; inform District Health Officer (DHO). 3. Deploy Rapid Response Team (RRT) for case investigation and contact tracing. 4. Collect samples for confirmation; dispatch to Rajiv Gandhi Institute of Chest Diseases or NIMHANS lab. 5. Enforce quarantine in affected zones (e.g., outbreak-prone areas: KR Market, Shivajinagar). 6. Conduct fumigation and vector control (dengue, chikungunya, malaria). 7. Activate Integrated Disease Surveillance Programme (IDSP) portal reporting. 8. Coordinate with ASHA workers for active case finding. 9. Issue health advisory and public communication via BBMP social media and wall posters."
Epidemic / Disease Outbreak,Karnataka Health Department,"1. Escalate outbreak notification to National Centre for Disease Control (NCDC) if cross-district spread. 2. Deploy State Rapid Response Team with epidemiologists. 3. Coordinate drug and vaccine logistics from Karnataka Medical Supplies Corporation (KMSCL). 4. Activate additional quarantine facilities in government facilities. 5. Issue press advisory in Kannada, Telugu, Tamil, and English. 6. Coordinate with private hospitals under Karnataka Clinical Establishments Act for mandatory reporting. 7. Prepare daily situation report for Union Health Ministry under IDSP."
Epidemic / Disease Outbreak,Bangalore Police (Bengaluru City Police),"1. Support BBMP health teams during forced quarantine enforcement under Epidemic Diseases Act, 1897. 2. Prevent public gatherings if Section 144 is invoked. 3. Coordinate with transport police to monitor inter-district movement if containment zone is declared. 4. Assist in securing essential supply chains (medical stores, pharmacies) from hoarding. 5. Support contact tracing teams in dense areas (KR Puram, Shivaji Nagar, RT Nagar)."
Terror Attack / Bomb Threat,Bangalore Police (Bengaluru City Police),"1. Receive threat call (100); verify credibility via Intelligence branch inputs. 2. Activate Bomb Detection and Disposal Squad (BDDS) and Quick Reaction Team (QRT). 3. Establish ICP and designate lead Investigation Officer (SP/DCP rank). 4. Coordinate with NSG (National Security Guard, Manesar) if Level 3 threat. 5. Evacuate threatened premises; establish 500m exclusion zone. 6. Deploy K9 squad and handheld detectors for sweep. 7. Coordinate with BMTC, Metro Rail (BMRCL) for transit shutdown if needed. 8. Control media narrative via PRO; prevent panic-inducing broadcasts. 9. Coordinate with ATS (Anti-Terrorism Squad), IB, and RAW liaison unit. 10. File case under UAPA if terrorist organisation involvement is confirmed."
Terror Attack / Bomb Threat,Karnataka State Disaster Management Authority (KSDMA),"1. Activate SEOC; convene inter-agency coordination call with Home Department, Police Commissioner, and SDRF. 2. Pre-position SDRF USAR teams near blast zone if explosion has occurred. 3. Coordinate mass casualty response with BBMP Health Wing and 108 service. 4. Issue controlled public advisory to prevent mass panic. 5. Arrange emergency accommodation for evacuated civilians. 6. Coordinate with NIC for communication monitoring and cyber intelligence. 7. Prepare SitRep for CMO every 1 hour."
Terror Attack / Bomb Threat,Bangalore Fire and Emergency Services (BFES),"1. Stand by in cold zone until BDDS clearance is given. 2. On BDDS all-clear or post-blast, enter with full PPE and HAZMAT gear (in case of IED with chemical payload). 3. Conduct structural assessment and fire suppression if explosion has caused fires. 4. Assist rescue operations in coordination with SDRF. 5. Decontaminate victims if chemical component is detected. 6. Secure blast site for forensic preservation."
Landslide / Slope Failure (Peripheral Zones),Karnataka State Disaster Management Authority (KSDMA),"1. Receive landslide alert from KSNDMC rainfall monitoring or community alert (Kanakapura, Tumkur Road, Hesaraghatta periphery). 2. Dispatch SDRF teams with rescue equipment. 3. Coordinate with PWD and BBMP for road clearance. 4. Arrange evacuation of vulnerable zones in coordination with taluk administration. 5. Pre-position rescue boats for cut-off communities. 6. Issue alert on Sakala portal and CM Helpline 1902. 7. Coordinate with GSI (Geological Survey of India) for soil stability assessment. 8. Prepare NDRF requisition if scale exceeds SDRF capacity."
Landslide / Slope Failure (Peripheral Zones),Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Coordinate clearing of blocked roads using JCBs and tipper trucks. 2. Inspect BBMP-maintained retaining walls and slopes in hilly wards (Dasarahalli, Yelahanka). 3. Arrange temporary shelters and relief materials for displaced residents. 4. Flag affected zones for geo-technical survey. 5. Issue building permit restrictions in landslide-prone geo-zones."
Missing Person / Child Abduction,Bangalore Police (Bengaluru City Police),"1. Register complaint under IPC Section 363 (kidnapping) if child; issue AMBER alert via CCTNS. 2. Activate TrackChild Portal (National Missing Children Portal) and link to State Crime Record Bureau. 3. Coordinate with CCTV monitoring cell to pull footage from Namma CCTV network. 4. Deploy plainclothes officers at BMTC and KSRTC bus stands, KSR and Yesvantpur railway stations, and KIAL. 5. Coordinate with Railway Police (GRP) for railway grid watch. 6. Issue description via social media handles of Bengaluru City Police. 7. Coordinate with CWC (Child Welfare Committee) if child is found but identity is unclear. 8. If trafficking suspected, activate AHTUs (Anti-Human Trafficking Units) at Cubbon Park and Shivajinagar."
Missing Person / Child Abduction,Childline India (1098),"1. Receive distress call on 1098 helpline. 2. Conduct intake interview with caller and collect child descriptors. 3. Coordinate with Bengaluru City Police and share complaint reference. 4. Activate local Childline team network (Bangalore Unit: BTM Layout) for field search. 5. Coordinate with railway stations, bus stands, and dhabas on NH-44 for sighting reports. 6. Link with CWC and shelter homes for safe reception if child is found. 7. Provide psychosocial first aid to recovered child before handover to family or CWC."
Water Supply Disruption / Contamination,Bangalore Water Supply and Sewerage Board (BWSSB),"1. Identify source of disruption via BWSSB SCADA (pipeline burst, pump failure, Cauvery supply cut). 2. Dispatch field teams for on-site assessment of affected zone (e.g., South Zone, East Zone). 3. Isolate contaminated section; issue boil-water advisory via BWSSB app and 1916 helpline. 4. Collect water samples; dispatch to BWSSB water quality lab (Malleshwaram). 5. Arrange emergency water tankers for affected zones within 4 hours. 6. Coordinate with BBMP for tanker parking locations in wards. 7. Identify source of contamination (sewage mixing, chemical intrusion). 8. Restore supply within 48 hours for major pipelines; 6 hours for distribution lines. 9. File incident report with Karnataka Urban Water Supply and Drainage Board (KUWS&DB)."
Water Supply Disruption / Contamination,BBMP Health Wing,"1. Issue public health advisory on water safety in affected wards. 2. Deploy mobile medical teams to areas where waterborne illness cases are reported. 3. Coordinate with BWSSB on sample testing results. 4. Activate IDSP reporting if gastroenteritis or diarrhoea cluster is detected. 5. Distribute ORS packets and water purification tablets through ASHA workers. 6. Monitor disease trends in affected wards for 14 days post-incident."
Suicide / Mental Health Crisis,Karnataka 108 Ambulance Service (GVK EMRI),"1. Receive call; dispatch ambulance and alert BLS crew on mental health protocol. 2. If active attempt: coordinate with police for safe access to site (height, bridge, railway). 3. En route, engage caller with ASIST-trained dispatcher using de-escalation techniques. 4. On arrival, conduct primary assessment; manage physical injuries first. 5. Do not restrain unless immediate danger; use verbal de-escalation. 6. Transport to psychiatric emergency at NIMHANS (primary centre) or St. Martha's. 7. Complete mandatory documentation under Mental Healthcare Act, 2017."
Suicide / Mental Health Crisis,Bangalore Police (Bengaluru City Police),"1. Receive PCR call; dispatch nearest patrol with trained Crisis Intervention Officers (CIO). 2. Coordinate with BFES if rescue from height/rail is needed. 3. Establish perimeter; remove bystanders and media. 4. Engage trained negotiator if individual is threatening suicide in public. 5. Coordinate hospital handover with 108 team. 6. Complete mandatory intimation to local magistrate under Section 174 CrPC if death has occurred. 7. Forward case to ACP-Welfare or police counselling cell for survivor support."
Suicide / Mental Health Crisis,NIMHANS (National Institute of Mental Health and Neuro Sciences),"1. Activate Psychiatric Emergency Response Team (PERT) on notification from 108 or police. 2. Receive patient in dedicated psychiatric emergency bay. 3. Conduct rapid mental status examination and suicide risk assessment. 4. Administer pharmacological or non-pharmacological interventions as appropriate. 5. Engage family with psychoeducation and safety planning. 6. Initiate inpatient admission if HIGH risk. 7. Refer to community mental health follow-up via NIMHANS outreach network if discharged. 8. Coordinate with iCall helpline (9152987821) for follow-up counselling."
Lake / Water Body Drowning,Bangalore Fire and Emergency Services (BFES),"1. Receive alert via 101; dispatch nearest fire station boat unit (Ulsoor Lake Station or Sankey Tank unit). 2. En route, gather information: number of victims, visibility, water depth. 3. On arrival, deploy safety boat and throw ropes; attempt surface rescue first. 4. Assign safety officer; ensure all responders wear PFDs (personal flotation devices). 5. Coordinate with divers for submerged victim search. 6. Handover rescued victim to 108 ambulance on shore. 7. Cordon lake periphery with BBMP assistance; notify lake authority. 8. Complete rescue report and flag lake for safety audit to BBMP Lakes wing."
Lake / Water Body Drowning,Karnataka 108 Ambulance Service (GVK EMRI),"1. Dispatch ambulance on receiving drowning alert. 2. On arrival, receive victim from BFES rescue team. 3. Initiate resuscitation protocol: clear airway, provide CPR if pulseless, attach AED if available. 4. Manage hypothermia: warming blankets, IV fluids. 5. Transport to nearest emergency department (bowring, Indira Gandhi children's hospital if child). 6. Document time of submersion, water type (fresh/sewage) for medical handover."
Lake / Water Body Drowning,Bangalore Police (Bengaluru City Police),"1. Secure lake perimeter; prevent bystanders from entering water. 2. Coordinate media management to avoid false reports. 3. Take statement of eyewitnesses. 4. Register case under Section 174 CrPC (unnatural death) if victim does not survive. 5. Identify victim; notify next of kin through jurisdictional police station. 6. Coordinate with BBMP to install safety railings and warning boards post-incident."
